,patch,Expedition,date [DD.MM.YYYY],time [HH:MM],water_temp [°C],ph [pH],do [mg l-1],do_sat [saturation],w_co2 [mATM],conductivity [uS cm -1],turb [NTU],gl_name,lat_sn [DD],lon_sn [DD],ele_sn [m],lat_sp [DD],lon_sp [DD],ele_sp [m],sn_sp_dist [m],sn_sp_ele [m],gl_sa [km2],gl_cov [%],gl_a [km2],rgi_v6,glims_id,chla [ug g-1],eps [ugC g-1],ag [nmol g-1 h-1],ap [nmol g-1 h-1],bg [nmol g-1 h-1],lap [nmol g-1 h-1],nag [nmol g-1 h-1],bp [ngC g-1 h-1],sba [cells g-1],respiration [mg 02 g-1 h-1],n3_srp [ug l-1],n4_nh4 [ug l-1],n5_no3 [ug l-1],n6_no2 [ug l-1],bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,fcf,fgd,scd,swe,pr,tas,tasmin,tasmax
0,GL1_UP_1,New Zealand,22.01.19,10:00,2.4,7.81,13.3,99.9,406.3,60.1,363.0,Franz Josef,-43.4528,170.1782,606,-43.45,170.1753,470,397,136,35.51,0.7,50.53,RGI60-18.02397,G170225E43495S,6.2e-06,0.0,0.013893716,0.212921469,0.005040966,1.08278125,0.0,40.976005,5582103.22,0.003670463,13.6,32.1,44.2,,12.750000000000057,3.3500000000000227,6553.5,677.8000000000001,446.6,11.8,1930.9,1506.7,1662.3000000000002,1506.7,8.150000000000034,6.5,36.800000000000004,362.3,16.650000000000034,-0.9499999999999886,17.6,9.350000000000023,3.3500000000000227,59.0,0.0,0.0,6553.5,585.7,13.150000000000034,9.450000000000045,16.55000000000001
1,GL1_UP_2,New Zealand,22.01.19,10:00,2.4,7.81,13.3,99.9,406.3,60.1,363.0,Franz Josef,-43.4528,170.1782,606,-43.45,170.1753,470,397,136,35.51,0.7,50.53,RGI60-18.02397,G170225E43495S,3.76e-05,0.205732,0.002292866,0.118450284,0.002649231,0.933340279,0.0,14.78712,2385219.31,0.016843993,13.6,32.1,44.2,,12.750000000000057,3.3500000000000227,6553.5,677.8000000000001,446.6,11.8,1930.9,1506.7,1662.3000000000002,1506.7,8.150000000000034,6.5,36.800000000000004,362.3,16.650000000000034,-0.9499999999999886,17.6,9.350000000000023,3.3500000000000227,59.0,0.0,0.0,6553.5,585.7,13.150000000000034,9.450000000000045,16.55000000000001
2,GL1_UP_3,New Zealand,22.01.19,10:00,2.4,7.81,13.3,99.9,406.3,60.1,363.0,Franz Josef,-43.4528,170.1782,606,-43.45,170.1753,470,397,136,35.51,0.7,50.53,RGI60-18.02397,G170225E43495S,0.000275467,0.0,0.001474181,0.106997484,0.007916985,0.614264541,0.01134831,13.139656,1469103.36,0.031876561,13.6,32.1,44.2,,12.750000000000057,3.3500000000000227,6553.5,677.8000000000001,446.6,11.8,1930.9,1506.7,1662.3000000000002,1506.7,8.150000000000034,6.5,36.800000000000004,362.3,16.650000000000034,-0.9499999999999886,17.6,9.350000000000023,3.3500000000000227,59.0,0.0,0.0,6553.5,585.7,13.150000000000034,9.450000000000045,16.55000000000001
3,GL1_DN_1,New Zealand,22.01.19,14:26,3.1,7.71,13.4,100.1,442.6,49.4,347.0,Franz Josef,-43.4528,170.1782,606,-43.4274,170.1734,248,2907,358,35.51,0.61,58.17,RGI60-18.02397,G170225E43495S,8.47e-05,0.0,0.007477315,0.095905234,0.016368716,0.917579852,0.0,131.5078755,3840447.42,0.002736069,,,,,14.850000000000023,5.750000000000057,6155.1,610.7,407.6,11.600000000000001,1740.3000000000002,1376.0,1497.7,1376.0,10.350000000000023,6.300000000000001,36.6,352.5,18.650000000000034,1.5500000000000114,17.1,11.550000000000011,5.750000000000057,0.0,0.0,0.0,6553.5,524.1,15.250000000000057,11.650000000000034,18.450000000000045
4,GL1_DN_2,New Zealand,22.01.19,14:26,3.1,7.71,13.4,100.1,442.6,49.4,347.0,Franz Josef,-43.4528,170.1782,606,-43.4274,170.1734,248,2907,358,35.51,0.61,58.17,RGI60-18.02397,G170225E43495S,2.23e-05,0.977248,0.003576783,0.22405735,0.012694462,1.08317894,0.0,15.9140095,1658472.02,0.005298178,,,,,14.850000000000023,5.750000000000057,6155.1,610.7,407.6,11.600000000000001,1740.3000000000002,1376.0,1497.7,1376.0,10.350000000000023,6.300000000000001,36.6,352.5,18.650000000000034,1.5500000000000114,17.1,11.550000000000011,5.750000000000057,0.0,0.0,0.0,6553.5,524.1,15.250000000000057,11.650000000000034,18.450000000000045
5,GL1_DN_3,New Zealand,22.01.19,14:26,3.1,7.71,13.4,100.1,442.6,49.4,347.0,Franz Josef,-43.4528,170.1782,606,-43.4274,170.1734,248,2907,358,35.51,0.61,58.17,RGI60-18.02397,G170225E43495S,0.0001969,0.0,0.000978696,0.0,0.0,0.0,0.0,1.349678,1324035.94,0.003786589,,,,,14.850000000000023,5.750000000000057,6155.1,610.7,407.6,11.600000000000001,1740.3000000000002,1376.0,1497.7,1376.0,10.350000000000023,6.300000000000001,36.6,352.5,18.650000000000034,1.5500000000000114,17.1,11.550000000000011,5.750000000000057,0.0,0.0,0.0,6553.5,524.1,15.250000000000057,11.650000000000034,18.450000000000045
6,GL2_UP_1,New Zealand,25.01.19,08:37,0.0,9.11,12.8,99.6,130.0,64.0,227.0,Victoria,-43.4976,170.1397,1156,-43.4976,170.139,1145,56,11,3.93,0.48,8.16,RGI60-18.02270,G170174E43508S,0.0,0.0,0.006171672,0.016839823,0.0,0.879466216,0.0,,2392754.61,0.001938932,8.2,34.5,51.9,,8.450000000000045,-1.1499999999999773,6553.5,876.9000000000001,530.3000000000001,13.700000000000001,2477.1000000000004,1776.8000000000002,2146.6,1776.8000000000002,3.750000000000057,6.9,37.5,371.70000000000005,12.650000000000034,-5.749999999999943,18.400000000000002,4.9500000000000455,-1.1499999999999773,194.0,352.0,198.0,987.5,766.0,8.950000000000045,4.9500000000000455,12.550000000000011
7,GL2_UP_2,New Zealand,25.01.19,08:37,0.0,9.11,12.8,99.6,130.0,64.0,227.0,Victoria,-43.4976,170.1397,1156,-43.4976,170.139,1145,56,11,3.93,0.48,8.16,RGI60-18.02270,G170174E43508S,0.0,0.0,0.000505935,0.042248303,0.004442758,1.414806721,0.003067026,0.697755,1145862.46,0.003505904,8.2,34.5,51.9,,8.450000000000045,-1.1499999999999773,6553.5,876.9000000000001,530.3000000000001,13.700000000000001,2477.1000000000004,1776.8000000000002,2146.6,1776.8000000000002,3.750000000000057,6.9,37.5,371.70000000000005,12.650000000000034,-5.749999999999943,18.400000000000002,4.9500000000000455,-1.1499999999999773,194.0,352.0,198.0,987.5,766.0,8.950000000000045,4.9500000000000455,12.550000000000011
8,GL2_UP_3,New Zealand,25.01.19,08:37,0.0,9.11,12.8,99.6,130.0,64.0,227.0,Victoria,-43.4976,170.1397,1156,-43.4976,170.139,1145,56,11,3.93,0.48,8.16,RGI60-18.02270,G170174E43508S,0.0,0.0,0.000916291,0.032583113,0.002146476,1.741233809,0.00373962,,531115.009,0.003309395,8.2,34.5,51.9,,8.450000000000045,-1.1499999999999773,6553.5,876.9000000000001,530.3000000000001,13.700000000000001,2477.1000000000004,1776.8000000000002,2146.6,1776.8000000000002,3.750000000000057,6.9,37.5,371.70000000000005,12.650000000000034,-5.749999999999943,18.400000000000002,4.9500000000000455,-1.1499999999999773,194.0,352.0,198.0,987.5,766.0,8.950000000000045,4.9500000000000455,12.550000000000011
9,GL2_DN_1,New Zealand,25.01.19,11:59,1.2,8.32,12.8,101.2,327.6,78.8,164.3,Victoria,-43.4976,170.1397,1156,-43.4978,170.1291,1093,855,63,4.08,0.41,9.99,RGI60-18.02270,G170174E43508S,0.0,0.0,0.002605666,0.002085682,0.0,1.171216959,0.0,,732061.986,,,,,,8.950000000000045,-0.6499999999999773,6553.5,858.0,519.0,13.700000000000001,2426.1,1738.7,2102.7000000000003,1738.7,4.250000000000057,6.9,37.7,369.90000000000003,13.150000000000034,-5.249999999999943,18.400000000000002,5.350000000000023,-0.6499999999999773,185.0,335.0,175.0,782.4000000000001,749.8000000000001,9.350000000000023,5.350000000000023,12.950000000000045
