patch,date [DD.MM.YYYY],water_temp [°C],ph [pH],do_sat [saturation],w_co2 [mATM],conductivity [uS cm -1],turb [NTU],gl_name,lat_sp [DD],lon_sp [DD],ele_sp [m],gl_sa [km2],gl_cov [%],glims_id,n3_srp [ug l-1],n4_nh4 [ug l-1],n5_no3 [ug l-1],n6_no2 [ug l-1],chla [ug g-1],Expedition,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,fcf,fgd,scd,swe,pr,tas,tasmin,tasmax,sba [cells g-1]
GL1_UP_1,22.01.19,2.4,7.81,99.9,406.3,60.1,363,Franz Josef,-43.45,170.1753,470,35.51,0.7,G170225E43495S,13.6,32.1,44.2,,6.20E-06,New Zealand,12.75,3.35,6553.5,677.8,446.6,11.8,1930.9,1506.7,1662.3,1506.7,8.15,6.5,36.8,362.3,16.65,-0.95,17.6,9.35,3.35,59,0,0,6553.5,585.7,13.15,9.45,16.55,5582103.22
GL1_UP_2,22.01.19,2.4,7.81,99.9,406.3,60.1,363,Franz Josef,-43.45,170.1753,470,35.51,0.7,G170225E43495S,13.6,32.1,44.2,,3.76E-05,New Zealand,12.75,3.35,6553.5,677.8,446.6,11.8,1930.9,1506.7,1662.3,1506.7,8.15,6.5,36.8,362.3,16.65,-0.95,17.6,9.35,3.35,59,0,0,6553.5,585.7,13.15,9.45,16.55,2385219.31
GL1_UP_3,22.01.19,2.4,7.81,99.9,406.3,60.1,363,Franz Josef,-43.45,170.1753,470,35.51,0.7,G170225E43495S,13.6,32.1,44.2,,0.000275467,New Zealand,12.75,3.35,6553.5,677.8,446.6,11.8,1930.9,1506.7,1662.3,1506.7,8.15,6.5,36.8,362.3,16.65,-0.95,17.6,9.35,3.35,59,0,0,6553.5,585.7,13.15,9.45,16.55,1469103.36
GL1_DN_1,22.01.19,3.1,7.71,100.1,442.6,49.4,347,Franz Josef,-43.4274,170.1734,248,35.51,0.61,G170225E43495S,,,,,8.47E-05,New Zealand,14.85,5.75,6155.1,610.7,407.6,11.6,1740.3,1376,1497.7,1376,10.35,6.3,36.6,352.5,18.65,1.55,17.1,11.55,5.75,0,0,0,6553.5,524.1,15.25,11.65,18.45,3840447.42
GL1_DN_2,22.01.19,3.1,7.71,100.1,442.6,49.4,347,Franz Josef,-43.4274,170.1734,248,35.51,0.61,G170225E43495S,,,,,2.23E-05,New Zealand,14.85,5.75,6155.1,610.7,407.6,11.6,1740.3,1376,1497.7,1376,10.35,6.3,36.6,352.5,18.65,1.55,17.1,11.55,5.75,0,0,0,6553.5,524.1,15.25,11.65,18.45,1658472.02
GL1_DN_3,22.01.19,3.1,7.71,100.1,442.6,49.4,347,Franz Josef,-43.4274,170.1734,248,35.51,0.61,G170225E43495S,,,,,0.0001969,New Zealand,14.85,5.75,6155.1,610.7,407.6,11.6,1740.3,1376,1497.7,1376,10.35,6.3,36.6,352.5,18.65,1.55,17.1,11.55,5.75,0,0,0,6553.5,524.1,15.25,11.65,18.45,1324035.94
GL2_UP_1,25.01.19,0,9.11,99.6,130,64,227,Victoria,-43.4976,170.139,1145,3.93,0.48,G170174E43508S,8.2,34.5,51.9,,0,New Zealand,8.45,-1.15,6553.5,876.9,530.3,13.7,2477.1,1776.8,2146.6,1776.8,3.75,6.9,37.5,371.7,12.65,-5.75,18.4,4.95,-1.15,194,352,198,987.5,766,8.95,4.95,12.55,2392754.61
GL2_UP_2,25.01.19,0,9.11,99.6,130,64,227,Victoria,-43.4976,170.139,1145,3.93,0.48,G170174E43508S,8.2,34.5,51.9,,0,New Zealand,8.45,-1.15,6553.5,876.9,530.3,13.7,2477.1,1776.8,2146.6,1776.8,3.75,6.9,37.5,371.7,12.65,-5.75,18.4,4.95,-1.15,194,352,198,987.5,766,8.95,4.95,12.55,1145862.46
GL2_UP_3,25.01.19,0,9.11,99.6,130,64,227,Victoria,-43.4976,170.139,1145,3.93,0.48,G170174E43508S,8.2,34.5,51.9,,0,New Zealand,8.45,-1.15,6553.5,876.9,530.3,13.7,2477.1,1776.8,2146.6,1776.8,3.75,6.9,37.5,371.7,12.65,-5.75,18.4,4.95,-1.15,194,352,198,987.5,766,8.95,4.95,12.55,531115.009
GL2_DN_1,25.01.19,1.2,8.32,101.2,327.6,78.8,164.3,Victoria,-43.4978,170.1291,1093,4.08,0.41,G170174E43508S,,,,,0,New Zealand,8.95,-0.65,6553.5,858,519,13.7,2426.1,1738.7,2102.7,1738.7,4.25,6.9,37.7,369.9,13.15,-5.25,18.4,5.35,-0.65,185,335,175,782.4,749.8,9.35,5.35,12.95,732061.986
