,Feature_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Cluster
302730,f7f6b080fd774f3c3516a1da9306445f,d__Bacteria, p__Acidobacteriota, c__Acidobacteriae, o__Bryobacterales, f__Bryobacteraceae, g__Bryobacter, s__metagenome,0
302983,f82cae3ff39e10d466f60287312d628d,d__Bacteria, p__Acidobacteriota, c__Blastocatellia, o__Blastocatellales, f__Blastocatellaceae,,,0
283942,e8f88822cdb083260aaa8fc260ebf791,d__Bacteria, p__Acidobacteriota, c__Holophagae, o__Holophagales, f__Holophagaceae, g__Holophagaceae, s__metagenome,0
291955,ef804cf3daa356dbb1a81205540240e0,d__Bacteria, p__Acidobacteriota, c__Vicinamibacteria, o__Vicinamibacterales, f__Vicinamibacteraceae, g__Vicinamibacteraceae,,0
309002,fd3083075acf8acb54149c3164ba3c8a,d__Bacteria, p__Actinobacteriota, c__Acidimicrobiia, o__Microtrichales, f__Ilumatobacteraceae, g__uncultured,,0
291143,eecf51418aca7522ed970c03176c8d36,d__Bacteria, p__Actinobacteriota, c__Acidimicrobiia, o__uncultured, f__uncultured, g__uncultured, s__uncultured_bacterium,0
304881,f9bff06adc2fe0ffc3b1f1ad39dd4bed,d__Bacteria, p__Actinobacteriota, c__Actinobacteria, o__Frankiales, f__Sporichthyaceae, g__Longivirga, s__metagenome,0
280976,e68b3ef2b8b326c9ca5492de70fdbcf1,d__Bacteria, p__Actinobacteriota, c__Actinobacteria, o__Micrococcales, f__Microbacteriaceae, g__Parafrigoribacterium, s__uncultured_bacterium,0
309349,fd7bdd6865becbf0f5bebb012de1fb0e,d__Bacteria, p__Actinobacteriota, c__Coriobacteriia, o__OPB41, f__OPB41, g__OPB41,,0
308066,fc679e04b7018f773cc05711af0010e2,d__Bacteria, p__Armatimonadota, c__Chthonomonadetes, o__Chthonomonadales, f__Chthonomonadaceae, g__Chthonomonas,,0
176014,9041292d9b5e2d46143a39e1a658c04a,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Prolixibacteraceae, g__WCHB1-32,,0
304431,f96110ac23c3d8f3638c8f3867a507c8,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Chitinophagales, f__Chitinophagaceae, g__Ferruginibacter,,0
68757,38335a0cd30a9bb4eea98e86ac9ed4bf,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Chitinophagales, f__Chitinophagaceae, g__Terrimonas, s__uncultured_Chitinophagaceae,0
39747,20776c7da6b658579454b444f878d5ef,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Chitinophagales, f__Chitinophagaceae,,,0
312055,ffb5fc772bfe3935fc894ac813473519,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Chitinophagales, f__Saprospiraceae, g__uncultured, s__uncultured_bacterium,0
257925,d3b5b655dbe5c19cded952e2028b9ded,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Cytophagales, f__Hymenobacteraceae, g__Hymenobacter, s__Hymenobacter_nivis,0
234815,c097213707ea778a1960946f4e0cded3,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Cytophagales, f__Microscillaceae, g__uncultured,,0
304551,f97a98e54b3092c4d1b060f28e22f64c,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Cytophagales, f__Microscillaceae, g__uncultured,,0
311515,ff452f38ad0d8412402713b69191c0f4,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Cytophagales, f__Microscillaceae, g__uncultured,,0
3612,02fb94bd92d4aec53fc39005bc1f82ab,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__Flavobacterium, s__uncultured_Bacteroidetes,0
302815,f806a7058fb79fa29b0f296cb9159d41,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__Flavobacterium, s__Flavobacterium_swingsii,0
299905,f5bc90e0f2876dc69eec7abdaff53d8b,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Flavobacteriales, f__Flavobacteriaceae, g__Lutibacter,,0
186064,9893d12c499caab03dba8a806b82637e,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Sphingobacteriales, f__AKYH767, g__AKYH767, s__uncultured_Bacteroidetes,0
310002,fdff38fd2608bd07a6eab24373f2b45f,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Sphingobacteriales, f__AKYH767, g__AKYH767, s__uncultured_Bacteroidetes,0
226106,b9686368113cbd11e78c271dd2ef1575,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Sphingobacteriales, f__env.OPS_17, g__env.OPS_17, s__uncultured_bacterium,0
296699,f3341c862e578bd3eada8ec93e0bfa8d,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Sphingobacteriales, f__LiUU-11-161, g__LiUU-11-161, s__metagenome,0
293340,f0986ab16f77d2f94399db74675423c9,d__Bacteria, p__Bdellovibrionota, c__Bdellovibrionia, o__Bdellovibrionales, f__Bdellovibrionaceae, g__Bdellovibrio, s__Bdellovibrionales_bacterium,0
310859,feb7b7507204293f6c5b81d03a2c537c,d__Bacteria, p__Bdellovibrionota, c__Bdellovibrionia, o__Bdellovibrionales, f__Bdellovibrionaceae, g__Bdellovibrio, s__uncultured_bacterium,0
309287,fd6d0a3cc35132d43e34d4738848dc5f,d__Bacteria, p__Chloroflexi, c__Anaerolineae, o__Anaerolineales, f__Anaerolineaceae, g__uncultured,,0
309387,fd847d9f258b7216e7b8b5ac74bf3867,d__Bacteria, p__Chloroflexi, c__OLB14, o__OLB14, f__OLB14, g__OLB14,,0
310709,fe92d9fb89dc1d5647a4170056e0764c,d__Bacteria, p__Firmicutes, c__Clostridia, o__Peptostreptococcales-Tissierellales, f__Anaerovoracaceae, g__Anaerovorax, s__uncultured_bacterium,0
309360,fd7dbcfed32b6ef839343211c7d406c2,d__Bacteria, p__Gemmatimonadota, c__Gemmatimonadetes, o__Gemmatimonadales, f__Gemmatimonadaceae, g__Gemmatimonas,,0
9961,081a1ef6331cf5f3dd5a5c3fcc30f1d0,d__Bacteria, p__Myxococcota, c__Myxococcia, o__Myxococcales, f__Myxococcaceae, g__P3OB-42,,0
306328,faf38d1ba224158d03b3d2d241ab910d,d__Bacteria, p__Myxococcota, c__Myxococcia, o__Myxococcales, f__Myxococcaceae, g__uncultured, s__uncultured_bacterium,0
246051,c9db9df4cd730f5b10b89c6d4163108e,d__Bacteria, p__Nitrospirota, c__Nitrospiria, o__Nitrospirales, f__Nitrospiraceae, g__Nitrospira, s__Nitrospirae_bacterium,0
289625,ed91237cd38b898d96f8c6a03669445c,d__Bacteria, p__Nitrospirota, c__Nitrospiria, o__Nitrospirales, f__Nitrospiraceae, g__Nitrospira, s__uncultured_Green,0
302144,f782c3c4b100c5ec8ab17e701b77ae2e,d__Bacteria, p__Patescibacteria, c__Gracilibacteria, o__Absconditabacteriales_(SR1), f__Absconditabacteriales_(SR1), g__Absconditabacteriales_(SR1), s__metagenome,0
305101,f9ef8e4f4290b3099c4ccc4f75027c45,d__Bacteria, p__Patescibacteria, c__Gracilibacteria, o__Gracilibacteria, f__Gracilibacteria, g__Gracilibacteria, s__metagenome,0
135577,6f3a6fbe4d16179144d709b7ccb9ca34,d__Bacteria, p__Patescibacteria, c__Parcubacteria, o__Candidatus_Nomurabacteria, f__Candidatus_Nomurabacteria, g__Candidatus_Nomurabacteria, s__uncultured_bacterium,0
150952,7bd97c440b80cb777f89baae0b025d3e,d__Bacteria, p__Patescibacteria, c__Saccharimonadia, o__Saccharimonadales, f__Saccharimonadales, g__Saccharimonadales, s__uncultured_bacterium,0
312225,ffd81681f2d6d911120f5989ea6e3bf6,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Gemmatales, f__Gemmataceae, g__uncultured, s__uncultured_bacterium,0
